rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
649.8499756	27.41974831	575.0700073	51.31145096	605	66.02906036	625	45.51221085			645.0700073	31.41003799	635.0700073	38.00882721	585	50.59621429
650.8599854	26.17267227	575.9699707	49.67836761	606.0200195	63.2013092	626.0200195	43.81636429			645.9400024	29.37079239	635.9400024	37.26732254	586.0200195	50.2333374
		577.0100098	47.94900131	607.0499878	60.6709938	627.0499878	41.16700363			646.9500122	29.01094055	636.9500122	35.74638367	587.0499878	48.90387726
		578.0499878	45.03878403	607.9400024	59.39094162	627.9400024	39.81599426			647.9699707	27.64676476	637.9699707	34.1567421	587.9400024	47.02997208
		578.9500122	44.24312592	608.9699707	56.57242966	628.9699707	38.5646019			648.9799805	26.87966919	638.9799805	32.46491241	588.9699707	45.67984772
		580	42.03170013	610	54.45972824	630	36.76994705			650	24.79495049	640	31.18615723	590	43.87953568
		581.0200195	40.35372543	611.0100098	52.55168533	631.0100098	35.25117111					641.0100098	29.59539413	591.0200195	42.57270813
		582.0499878	39.29573059	612.0200195	50.33916473	632.0200195	33.27455521					642.0200195	28.03738213	592.0499878	40.87266922
		582.9400024	38.24023438	613.039978	48.38856125	633.039978	31.54474068					643.039978	26.78894615	592.9400024	40.12699127
		583.9699707	36.32236099	614.0499878	46.84047699	634.0499878	30.43328094					644.0499878	26.05797768	593.9699707	38.67388916
		585	34.87216949	615.0700073	44.35998917	635.0700073	29.24928093					645.0700073	25.00202751	595	37.56558228
		586.0200195	33.41089249	615.9400024	42.86180496	635.9400024	28.02630424					645.9400024	23.78058624	596.0200195	35.90464783
		587.0499878	32.50961685	616.9500122	40.94549561	636.9500122	26.81098557					646.9500122	22.43117332	597.0499878	35.75325394
		587.9400024	32.09436035	617.9699707	39.2471199	637.9699707	25.49607277					647.9699707	21.79497528	597.9400024	34.07514191
		588.9699707	31.27894592	618.9799805	37.67589569	638.9799805	24.42977905					648.9799805	20.59955788	598.9699707	32.90994644
		590	29.84708214	620	36.20141983	640	23.2329731					650	19.66600227	600	31.7672348
		591.0200195	28.99560928	621.0200195	33.73241425	641.0100098	22.21792221							601.0200195	30.82349396
		592.0499878	28.36603165	622.0499878	32.63747787	642.0200195	21.43471909							602.0499878	29.68372345
		592.9400024	27.53914261	622.9400024	31.4250927	643.039978	20.35037422							602.9400024	28.98739052
		593.9699707	25.81970215	623.9699707	30.13921547	644.0499878	19.36115646							603.9699707	27.87642479
		595	25.38279724	625	28.78334808	645.0700073	18.71157455							605	26.7162838
		596.0200195	24.57294846	626.0200195	27.12895393	645.9400024	18.15818596							606.0200195	25.6430912
		597.0499878	24.07025146	627.0499878	26.15883064	646.9500122	17.2494545							607.0499878	24.78661728
		597.9400024	22.74154091	627.9400024	25.15761757	647.9699707	16.72589684							607.9400024	24.11133957
		598.9699707	22.68084145	628.9699707	24.08267212	648.9799805	16.01416206							608.9699707	23.13891029
		600	21.25885773	630	22.65916443	650	14.88956642							610	22.24474335
		601.0200195	20.5450573	631.0100098	21.80131912									611.0100098	21.1652317
		602.0499878	20.26109505	632.0200195	20.66943741									612.0200195	20.29195595
		602.9400024	19.57701683	633.039978	19.45900345									613.039978	19.56375694
		603.9699707	18.99484253	634.0499878	18.85251236									614.0499878	18.82607841
		605	18.38882256	635.0700073	18.08856964									615.0700073	17.89322472
		606.0200195	17.7307415	635.9400024	17.24558067									615.9400024	17.61913681
		607.0499878	17.18003082	636.9500122	16.56857681									616.9500122	16.76064682
		607.9400024	16.23683357	637.9699707	15.8772316									617.9699707	15.85543728
		608.9699707	15.65426445	638.9799805	15.28978825									618.9799805	15.05812645
